lot_id,horseId,salesId,lot_number,book_number,sex,horse_name,sire_name,session_median_price,mv_expected_index,mv_low_index,mv_high_index,mv_expected_price,mv_low_price,mv_high_price,mv_raw_price,mv_confidence_tier,mv_model_version,mv_generated_at
507633,1722782,2005,226,0,Colt,Incys26-226,Spirit Of Boom,70000.0,1.1214633976553188,0.7436219777851028,2.380121052804076,78500.0,52100.0,166600.0,78500.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507634,1722783,2005,227,0,Filly,Incys26-227,Pinatubo,70000.0,2.068812373192806,1.4255793994858974,2.7129450022560504,144800.0,99800.0,189900.0,144800.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507635,1752967,2005,228,0,Colt,INAUW25-574,Acrobat,70000.0,0.7517537676741762,0.4380116393358978,1.7354690613655679,52600.0,30700.0,121500.0,52600.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507636,1722784,2005,229,0,Colt,Incys26-229,Pinatubo,70000.0,1.2588582984232382,0.8381905858549967,2.2006046736822498,88100.0,58700.0,154000.0,88100.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507637,1722785,2005,230,0,Colt,Incys26-230,Hellbent,70000.0,1.4413412358686573,0.7034292168653017,2.1473889971340108,100900.0,49200.0,150300.0,100900.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507638,1722786,2005,231,0,Filly,Incys26-231,Zousain,70000.0,1.2375132453200826,1.0840880229418044,2.211037579493134,86600.0,75900.0,154800.0,86600.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507639,1722787,2005,232,0,Filly,Incys26-232,Brave Smash,70000.0,1.671150915906536,0.8141649370847674,2.4015033341671326,117000.0,57000.0,168100.0,117000.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507640,1722788,2005,233,0,Filly,Incys26-233,Extreme Choice,70000.0,1.940094844453765,1.2790310681127004,4.168394137222293,135800.0,89500.0,291800.0,135800.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507641,1722789,2005,234,0,Filly,Incys26-234,Harry Angel,70000.0,1.3265706267237347,1.112193513397472,2.6549796834766273,92900.0,77900.0,185800.0,92900.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507642,1722790,2005,235,0,Colt,Incys26-235,Peltzer,70000.0,0.5624824236744844,0.413168126852367,1.3419907364176582,39400.0,28900.0,93900.0,39400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507643,1722791,2005,236,0,Colt,Incys26-236,Snitzel,70000.0,2.4054709443138336,1.4832011475761357,4.503026901193651,168400.0,103800.0,315200.0,168400.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507644,1722792,2005,237,0,Colt,Incys26-237,The Autumn Sun,70000.0,1.4229758230046827,1.283362352681791,2.317527082250862,99600.0,89800.0,162200.0,99600.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507645,1752490,2005,238,0,Colt,INAUW25-5,All Too Hard,70000.0,0.7249369430501865,0.316725624029453,1.9064183618289743,50700.0,22200.0,133400.0,50700.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507646,1752491,2005,239,0,Colt,INAUW25-6,State Of Rest,70000.0,0.4939136898558277,0.4255896107394359,1.0534457353668092,34600.0,29800.0,73700.0,34600.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507647,1722795,2005,240,0,Filly,Incys26-240,Starspangledbanner,70000.0,1.1871978713428992,0.5256608034460031,2.940008320368656,83100.0,36800.0,205800.0,83100.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507648,1752492,2005,241,0,Colt,INAUW25-7,Acrobat,70000.0,0.6374306117339227,0.47471850117766656,1.244630433317292,44600.0,33200.0,87100.0,44600.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507649,1722796,2005,242,0,Colt,Incys26-242,Dundeel,70000.0,1.3727921297477061,0.919308529963851,2.3716684719846977,96100.0,64400.0,166000.0,96100.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507650,1722797,2005,243,0,Colt,Incys26-243,Trapeze Artist,70000.0,0.37057690509111907,0.1985189702312517,0.8495072933488634,25900.0,13900.0,59500.0,25900.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507651,1722798,2005,244,0,Filly,Incys26-244,Zousain,70000.0,1.1554148506790578,1.0167021700094092,2.1454922222683988,80900.0,71200.0,150200.0,80900.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507652,1722799,2005,245,0,Colt,Incys26-245,Too Darn Hot,70000.0,1.922645877804807,1.5856882808968324,3.5735855819861793,134600.0,111000.0,250200.0,134600.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507653,1723470,2005,246,0,Colt,Incys26-246,Per Incanto,70000.0,1.4767657363779647,1.2238752184959771,2.499475571357285,103400.0,85700.0,175000.0,103400.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507654,1722800,2005,247,0,Filly,Incys26-247,Farnan,70000.0,0.6922776225951679,0.5139574957436485,1.6736214454083889,48500.0,36000.0,117200.0,48500.0,medium,v2.1,2026-01-20 05:40:50.743936+00:00
507655,1722801,2005,248,0,Colt,Incys26-248,Capitalist,70000.0,0.8833287459607563,0.3913702772159652,2.138754096984976,61800.0,27400.0,149700.0,61800.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
507656,1722802,2005,249,0,Filly,Incys26-249,Written Tycoon,70000.0,3.3307204935858166,1.4885807981123458,5.623964000415571,233200.0,104200.0,393700.0,233200.0,low,v2.1,2026-01-20 05:40:50.743936+00:00
